; ermaccer mugenhook - frame loader
; 
; format:	
30007 25
30007 26

182 0
182 1
182 2
182 3
182 4
182 5

;Reptile UMK3
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

183 0
183 1
183 2
183 3
183 4
183 5

;Shang Tsung MK3
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

180 0
180 1
180 2
180 3

;Kung Lao MK3
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

180 0
180 1
180 2
180 3
180 4
180 5
180 6
180 7
180 8
180 9
180 10
180 11
180 12

;Stryker
0 0
0 1
0 2
0 3
0 4
0 5
0 6

180 16
180 17
180 18

;Sheeva
0 0
0 1
0 2
0 3
0 4
0 5
0 4
0 3
0 2
0 1

75 0
75 1
75 2
75 14
75 15
75 16
75 17

;Noob Saibot
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

183 0
183 1
183 2
183 3

;Kitana
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7

c
180 3
180 4
180 5

;Cyber Sub-Zero
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

182 0
182 1
182 2
182 3

;Smoke
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

180 0
180 1
180 2
181 0
181 1
181 2

;Mileena
0 100
0 101
0 102
0 103
0 104
0 105
0 106
0 107
0 108

180 6
180 7
180 8
180 9
180 10

;Ermac
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

182 0
182 1
182 2
183 0
183 1
183 1
183 1

;Nightwolf
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

181 0
181 1
181 2
181 3

;Human Smoke
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

181 0
181 1
181 2

;Raiden
0 0
0 1
0 2
0 3
0 4
0 5
0 4
0 3
0 2
0 1

0 10
180 0
180 1
180 2
180 3
180 4
180 5
180 6

;Rain
70,3
70,4
70,5
70,6
70,7
70,8
70,0
70,1
70,2

75 0
75 1
75 2
75 3
75 4

;Khameleon
30006 0
30006 1
30006 2
30006 3
30006 4
30006 5
30006 6
30006 7
30006 8
30006 9
30006 10
30006 11
30006 12
30006 13
30006 14
30006 15

75 0
75 1
75 2
75 3
75 4
75 5
75 6
75 7

;Liu Kang MK2
0 0
0 1
0 2
0 3
0 4
0 5
0 6

180 0
180 1
180 2
180 3
180 4
180 5
180 6
180 7

;Kung Lao MK2
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7

75 0
75 1
75 2
75 3
75 4
75 5
75 6
75 7

;Johnny Cage MK2
0 0
0 1
0 2
0 3
0 4
0 5

180 0
180 1
180 2
180 3
180 4
180 5
180 6
180 7
180 8
180 9
180 10
180 11
180 12
180 13

;Reptile MK2
0 0
0 1
0 2
0 3
0 4
0 5
0 6

180 0
180 1
180 2
180 3

;Mileena MK2
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 5
0 4
0 3
0 2
0 1

180 6
180 7
180 8
180 9
180 10
180 11
180 12
180 13
180 14
180 15
180 16

;Sub-Zero MK2
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 5
0 4
0 3
0 2
0 1

181 0
181 1
181 2

;Jax MK2
0 0
0 1
0 2
0 3
0 4
0 5
0 6

75 0
75 1
75 2
75 3
75 4
75 5
75 6
75 7

;Kitana MK2
0 0
0 1
0 2
0 3
0 4
0 5

180 0
180 1
180 2
180 3
180 4
180 5
180 6
180 7
180 8
180 9
180 10
180 11

;Shang Tsung
0 0
0 1
0 2
0 3
0 4
0 5
0 6

181 0
181 1
181 2
181 3
181 4

;Baraka
0 0
0 1
0 2
0 3
0 4
0 5
0 4
0 3
0 2
0 1

75 0
75 1
75 2
75 3
75 4
75 5
75 6
75 7

;Scorpion MK2
0 0
0 1
0 2
0 3
0 4
0 5
0 6

183 0
183 1
183 2

;Chameleon MK2
30006 0
30006 1
30006 2
30006 3
30006 4
30006 5
30006 6
30006 7
30006 8
30006 9
30006 10
30006 11
30006 12
30006 13
30006 14
30006 15
30006 16
30006 17

181 0
181 1
181 2

;Jade MK2
70 0
70 1
70 2
70 3
70 4
70 5
70 7
70 8
70 9
70 12
70 13
70 14

180 11
180 12
180 13
180 14
180 15
180 16

;Noob Saibot MK2
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 5
0 4
0 3
0 2
0 1

180 0
180 1
180 2

;Smoke MK2
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 5
0 4
0 3
0 2
0 1

181 0
181 1
181 2

;Tremor
0 0
0 1
0 2
0 3
0 4
0 5
0 7
0 8

183 0
183 1
183 2
183 3

;Hydro
5300 0
5300 1
5300 2
5300 3
5300 4
5300 5
5300 6
5300 7

3001 0
3001 1
3001 2
3001 3
3001 4
3001 5

;Reiko
0 0
0 1
0 2
0 3
0 4
0 5
0 7
0 8

75 0
75 1
75 2
75 3
75 4
75 5
75 6
75 7

;Sareena
0 0
0 1
0 2
0 3
0 4
0 5
0 7

180 0
180 1
180 2

;Frost
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 5
0 4
0 3
0 2
0 1

180 0
180 1
180 2
180 3

;Fujin
0 0
0 1
0 2
0 3
0 4
0 5
0 6

180 0
180 1
180 2
180 3
180 4

;Cyber Chameleon
30006 0
30006 1
30006 2
30006 3
30006 4
30006 5
30006 6
30006 7
30006 8
30006 9
30006 10
30006 11
30006 12
30006 13
30006 14
30006 15
30006 16
30006 17

180 0
180 1
180 2
180 3
180 4
180 5

;Tanya
0 200
0 201
0 202
0 203
0 204
0 205

181 0
181 1
181 2
181 3
181 4
181 3
181 2

;Jarek
0 0
0 1
0 2
0 3
0 4
0 5
0 6

180 0
180 3
180 5
180 4
180 6
180 7
180 8
180 2

;Fujin MKM
0 0
0 1
0 2
0 3
0 4
0 5

180 11

;Reptile MK1
0 0
0 1
0 2
0 3
0 4
0 5
0 6

180 0
180 1
180 2
180 3

;Hotaru
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9

180 3
180 2
180 1
3001 21
181 2
181 0
181 1
181 10
181 9
181 8
181 7
181 6
181 5
181 4
181 3
181 12
3001 14
180 1
181 0

;Skarlet
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 5
0 4
0 3
0 2
0 1

182 0
182 1
182 2
182 3
182 4
182 5
182 6
182 7

;Drahmin
0 0
0 1
0 2
0 3
0 4
0 5
0 6

180 0
180 1
180 2
180 3

;Ruby
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7

180 5
180 4
182 0
182 1
182 2

;Oniro
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

181 0
181 1
181 2
180 0
180 0

;Khameleon MK2
30006 0
30006 1
30006 2
30006 3
30006 4
30006 5
30006 6
30006 7
30006 8
30006 9
30006 10
30006 11

182 0
182 1
182 2
182 1
182 0

;Johnny Cage MK1
0 0
0 1
0 2
0 3
0 4
0 5
0 6

180 0
180 1
180 2
180 3
180 4
180 5
180 6
180 7
180 8
180 9
180 10
180 11

;Kano MK1
0 0
0 1
0 2
0 3
0 4
0 5
0 6

0 10
0 11
180 0
180 1
180 2
180 3
180 4

;Sub-Zero MK1
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 5
0 4
0 3
0 2
0 1

180 0
180 1
180 2
180 3

;Sonya MK1
0 0
0 1
0 2
0 3
0 4
0 5
0 6

75 0
75 1
75 2
75 3
75 4
75 5
75 6
75 7

;Raiden MK1
0 0
0 1
0 2
0 3
0 4
0 5
0 4
0 3
0 2
0 1

0 10
180 0
180 1
180 2
180 3
180 4
180 5
180 5

;Liu Kang MK1
0 0
0 1
0 2
0 3
0 4
0 3
0 2
0 1

180 0
180 1
180 2
180 3
180 4
180 5
180 6
180 7
180 8
180 9
180 10

;Scorpion MK1
0 0
0 1
0 2
0 3
0 4
0 5
0 6

183 0
183 1
183 2
183 3
183 4
183 5

;Chameleon MK1
30006 0
30006 1
30006 2
30006 3
30006 4
30006 5
30006 6
30006 7
30006 8
30006 9
30006 10
30006 11
30006 12
30006 13

181 0
181 1
181 2
181 3

;Shao Kahn
0 0
0 1
0 2
0 3
0 4
0 5
0 6

0 10
0 11
180 4
180 5

;Goro
0 0
0 7
0 1
0 2
0 3
0 4
0 5
0 6

5 0
5 1
180 0
180 1
180 2

;Kintaro
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 6
0 5
0 4
0 3
0 2
0 1

5 0
5 1
5 2
180 0
180 1
180 2
180 3

;Motaro
70 0
70 1
70 2
70 3
70 4
70 5
70 6
70 7
70 8
70 9
70 10
70 0
70 1
70 2
70 3
70 4
70 11
70 12
70 13
70 8
70 9
70 10
70 0
70 1
70 2
70 3
70 4
70 11
70 12
70 13
70 8
70 9
70 10
70 0
70 1
70 2
70 3
70 4
70 11
70 12
70 13
70 8
70 9
70 10

70 9
75 0
75 1
75 2
75 3
75 4

;Blaze
70 0
70 1
70 2
70 3
70 4
70 5
70 6
70 7
70 8

75 1
75 2
75 3
75 4
75 5
75 6
75 5

;Shinnok
0 0
0 1
0 2
0 3
0 4
0 5
0 6

75 5
75 6
75 7
75 8
75 9
75 8
75 7
75 6
75 5

;Quan Chi
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9

180 0
180 1
180 2
180 3

;Shang Tsung MK1
0 0
0 1
0 2
0 3
0 4
0 5
0 6

183 0
183 1
183 2
183 3
183 2
183 1
183 2
183 3
