; ermaccer mugenhook - animated portraits
; Format:
; a - Row
; b - Column
; c - Animation
; d - Alternate Animation for P2
; e - Select Animation
; f - Alternate Select Animation for P2
2 7 0 0 180 0 chars\sub-zero_mk2\1.air 0.88 0.74
2 8 0 0 75 0 chars\jax_mk2\jax.air 0.86 0.73
2 9 0 0 180 0 chars\kitana_mk2\1.air 0.89 0.75
2 10 0 0 181 0 chars\shang_tsung_mk2\shang_tsung.air 0.88 0.75
2 11 0 0 75 0 chars\Baraka\Baraka.air 0.89 0.76
2 12 0 0 182 0 chars\scorpion_mk2\scorpion_mk2.air 0.88 0.74
2 13 70 0 181 0 chars\chameleon_mk2\1.air 0.88 0.75
3 3 70 0 180 0 chars\jade_mk2\1.air 0.88 0.75
3 4 0 0 181 0 chars\noob_saibot_mk2\1.air 0.88 0.74
3 5 0 0 180 0 chars\smoke_mk2\1.air 0.88 0.74
3 6 0 0 183 0 chars\tremor\1.air 0.96 0.83
3 7 0 0 180 0 chars\hydroproject\1.air 0.89 0.76
3 8 0 0 75 0 chars\reiko\1.air 0.89 0.76
3 9 0 0 180 0 chars\sareena\sareena.air 0.88 0.75
3 10 0 0 180 0 chars\frost\1.air 0.88 0.78
3 11 0 0 180 0 chars\fujin\fujin.air 0.89 0.76
3 12 70 0 180 0 chars\chameleon3\1.air 0.89 0.76
4 3 0 0 180 0 chars\tanya\1.air 0.89 0.76
4 4 0 0 180 0 chars\jarek\jarek.air 0.89 0.76
4 5 0 0 181 0 chars\fujinMKM\fujin.air 0.89 0.76
4 6 0 0 180 0 chars\reptile_mk+\1.air 0.88 0.74
4 7 0 0 180 0 chars\hotaru\1.air 0.89 0.76
4 8 0 0 180 0 chars\skarlet\1.air 0.89 0.76
4 9 0 0 180 0 chars\drahmin\drahmin.air 0.91 0.78
4 10 0 0 181 0 chars\ruby\1.air 0.90 0.77
4 11 0 0 75 0 chars\oniro\Oniro.air 0.89 0.76
4 12 70 0 184 0 chars\khameleon-mk2\1.air 0.89 0.76
5 4 0 0 180 0 chars\johnny_cage_mk1\Cage.air 0.89 0.76
5 5 0 0 75 0 chars\kanomk1\Kano.air 0.89 0.76
5 6 0 0 180 0 chars\sub-zero_mk\1.air 0.88 0.74
5 7 0 0 75 0 chars\sonya_mk1\sonya.air 0.88 0.75
5 8 0 0 180 0 chars\raiden_mk1\raiden.air 0.91 0.76
5 9 0 0 75 0 chars\liu_kang_mk1\MK1_stance.air 0.89 0.76
5 10 0 0 182 0 chars\scorpion_mk1\1.air 0.88 0.74
5 11 70 0 181 0 chars\chameleon_mk1\1.air 0.88 0.74
6 4 0 0 75 0 chars\shao_kahn\1.air 0.89 0.76
6 5 0 0 180 0 chars\goro\1.air 0.89 0.76
6 6 0 0 180 0 chars\kintaro\kintaro.air 0.89 0.76
6 7 70 0 75 0 chars\motaro\1.air 0.89 0.76
6 8 70 0 75 0 chars\blaze\1.air 0.96 0.83
6 9 0 0 75 0 chars\shinnok\Shinnok.air 0.91 0.78
6 10 0 0 180 0 chars\quan_chi\1.air 0.92 0.84
6 11 0 0 75 0 chars\shang_tsungmk1\shang_tsung.air 0.89 0.76
